Number,Side,Colors,Street,Type_of_building
2,0,"{'dominant_colors': {'maccabi_yellow': 0.4093875}, 'line_colors': {}}",שדרות 640,['אזור מגורים בבניה עירונית נמוכה']
2א,0,"{'dominant_colors': {'maccabi_yellow': 0.42475625}, 'line_colors': {}}",שדרות 640,['אזור מגורים בבניה עירונית נמוכה']
4א,0,"{'dominant_colors': {'maccabi_yellow': 0.3785125}, 'line_colors': {}}",שדרות 640,['אזור מגורים בבניה עירונית נמוכה']
6,0,"{'dominant_colors': {'maccabi_yellow': 0.345525}, 'line_colors': {}}",שדרות 640,['אזור מגורים בבניה עירונית נמוכה']
6א,0,"{'dominant_colors': {'maccabi_yellow': 1.0}, 'line_colors': {}}",שדרות 640,['אזור מגורים בבניה עירונית נמוכה']
8,0,"{'dominant_colors': {'maccabi_yellow': 0.3668875}, 'line_colors': {}}",שדרות 640,['אזור מגורים בבניה עירונית נמוכה']
10ב,0,"{'dominant_colors': {'maccabi_yellow': 0.61111875}, 'line_colors': {}}",שדרות 640,['אזור מגורים בבניה עירונית נמוכה']
12,0,"{'dominant_colors': {'maccabi_yellow': 0.33246875}, 'line_colors': {}}",שדרות 640,['אזור מגורים בבניה עירונית נמוכה']
12א,0,"{'dominant_colors': {'maccabi_yellow': 0.59403125}, 'line_colors': {}}",שדרות 640,['אזור מגורים בבניה עירונית נמוכה']
14,0,"{'dominant_colors': {'maccabi_yellow': 0.9651}, 'line_colors': {}}",שדרות 640,['אזור מגורים בבניה עירונית נמוכה']
16,0,"{'dominant_colors': {'maccabi_yellow': 0.9651}, 'line_colors': {}}",שדרות 640,['אזור מגורים בבניה עירונית נמוכה']
18,0,"{'dominant_colors': {'maccabi_yellow': 0.416175}, 'line_colors': {}}",שדרות 640,['אזור מגורים בבניה עירונית נמוכה']
18א,0,"{'dominant_colors': {'maccabi_yellow': 0.4224125}, 'line_colors': {}}",שדרות 640,['אזור מגורים בבניה עירונית נמוכה']
18ב,0,"{'dominant_colors': {'maccabi_yellow': 0.42359375}, 'line_colors': {}}",שדרות 640,['אזור מגורים בבניה עירונית נמוכה']
18ג,0,"{'dominant_colors': {'maccabi_yellow': 0.4196125}, 'line_colors': {}}",שדרות 640,['אזור מגורים בבניה עירונית נמוכה']
