Street Name
שדרות 1121
שביל 1174
שביל 1247
מעבר 1272
שביל 1280
כביש ש 1329
שביל 1330
מעבר 1332
כיכר 1335
כיכר 1336
כיכר 1337
כיכר 1339
כיכר 1343
שביל 1345
כיכר 1349
שביל 1354
שביל 1356
שביל 1357
שביל 1368
כביש ש 1371
כביש ש 1372
כביש ש 1373
שביל 2217
משעול 2364
מעבר 2382
מעבר 2383
מעבר 2384
מעבר 2389
כיכר 2392
כיכר 2395
טיילת 2397
כיכר 2405
כיכר 2406
כיכר 2409
כיכר 2411
כיכר 2412
כיכר 2415
כיכר 2416
כיכר 2418
כיכר 2420
רחבה 2424
שביל 2426
מעבר 2427
מעבר 2428
כביש ש 2446
שביל 2456
מעבר 3018
מעבר 3019
מעלה 3040
מעבר 333
מעבר 3338
סמטת 3350
סמטת 3351
מעבר 3594
שביל 3615
שביל 3731
שביל 3768
רחוב 3813 וולובלסקי 2
שביל 3822
מעבר 3860
סמטת 3861
מעבר 3862
שביל 3875
שביל 3883
מבוא 3908
שביל 3933
רחבה 3944
מעבר 3945
שביל 3947
מבוא 3949
כיכר 3954
משעול 3955
שביל 3966
מעבר 3971
רמפה 5201
רמפה 5202
רמפה 5203
מתחם 5500
מתחם 5501
חניון 6011
חניון 6012
לא עיר 6570
סמטת 693
גשר 9010
גשר 9011
גשר 9012
גשר 9015
גשר 9023
גשר 9024
גשר 9025 מברזל
גשר 9025
גשר 9026
גשר 9027
גשר 9028
גשר 9029
גשר 9041
גשר 9045
גשר 9046
גשר 9057
גשר 9059
גשר 9075
גשר 9076
גשר 9078
גשר 9079
רחוב אב
רחוב אבודרהם
לא עיר אבוחצירא - בני ברק
לא עיר 6530
רחבה אבוטבול יעקב
רחבה 3443
רחוב אבולעפיה
רחוב אבולעפיה רבקה ושלמה
רחוב אבוקה
רחוב אבטליון
רחוב אביאסף
חוף אביב (הגולשים)
חוף 7314
רחוב אביגור
רחוב אבידן דויד
רחוב אבידן שמעון
רחוב אביטל
רחוב אבימלך
רחוב אבינרי יצחק
רחוב אביצור שמואל
רחוב אבישי
רחוב אבן גבירול
רחוב אבן חלדון
רחוב אבן סינא
רחוב אבן ספיר
רחוב אבן רשד
רחוב אבן שושן אברהם
כיכר אבנור חנה
כיכר 1340
רחוב אבני זכרון
רחוב אבנר
שדרות אבנר מאיר
שדרות 2038
רחוב אברבנאל
כיכר אבריאל אהוד
כיכר 2391
רחוב אברך ישעיהו
"שביל אברמוביץ י""מ הרב"
שביל 2161
רחוב אג'ימן ישעיהו
רחוב אגדתי ברוך
רחוב אגריפס
רחוב אד קוץ'
"רחוב אד""ם הכהן"
רחוב אדירים
"רחוב אדלר יש""י וברכה"
רחוב אדר
רחוב אהבת ציון
רחוב אהוד
רחוב אהלי יעקב
רחוב אהרון דוד גורדון
רחוב אהרון טוב משה
רחוב אהרונוביץ
"לא עיר אהרונוביץ(השומר) ב""ב"
לא עיר 6531
רחוב אהרונסון
רחוב אוארבך
רחוב אוגרית
רחוב אוהב ישראל
רחוב אוז'שקובה
רחוב אויסטרך דוד
רחוב אוליפנט
רחוב אולשן יצחק
רחוב אונטרמן איסר יהודה
"מתחם אוניברסיטת ת""א"
מתחם 1314
רחוב אוניקובסקי פרץ
רחוב אונקלוס
רחוב אוסישקין
גשר אוסישקין(ביילי)גשר ברזל
גשר 9019
רחוב אופטושו יוסף
רחוב אופיר
רחוב אופיר שיקה
כיכר אופנבך ז'ק
כיכר 2376
רחוב אופנהיימר
רחוב אור החיים
כיכר אורבוך ג'ניה
כיכר 1341
כיכר אורי אביבה
כיכר 1338
רחוב אוריאל אקוסטה
רחוב אורים
"לא עיר אורלוב - פ""ת"
לא עיר 6559
רחוב אורלוף חנה
כיכר אורלנד יעקב
כיכר 1325
רחוב אושה
"רחוב אז""ר"
רחוב אזוב
"רחוב אח""י דקר"
רחוב אחד העם
רחוב אחווה
רחוב אחוזת בית
רחוב אחילוף
רחוב אחימאיר אבא
רחוב אחימעץ
רחוב אחיעזר
רחוב אחרון יוסף
רחוב אטאטורק כמאל מוצטפה
רחוב איגר
רחוב אידלסון
רחוב אידלסון רחל ושמואל
רחוב איזמוז'יק לאה ודויד
רחוב אייבשיץ
גשר איילון לכוון וולפסון
גשר 6100
גשר איילון צפון(רכבת)
גשר 9051
רחוב איילת השחר
רחוב אייר
מתחם איכילוב
מתחם 1346
"רחוב איל""ן"
רחוב אילת
רחוב אימבר
רחוב אינשטיין
רחוב איסקוב ניסים
רחוב איסרליש
רחוב אירוס
רחוב איתיאל
רחוב איתין אהרון
"רחוב איתמר בן אב""י"
סמטת איתן
סמטת 1071
רחוב אלבז נתן
רחוב אלדד הדני
סמטת אלו מציאות
סמטת 427
רחוב אלול
רחוב אלון יגאל
רחוב אלוני ניסים
רחוב אלוף
סמטת אלוף בצלות
סמטת 442
"לא עיר אלוף דויד (ר""ג)"
לא עיר 6563
"לא עיר אלוף שדה (ר""ג)"
לא עיר 6564
רחוב אלחנן יצחק
רחבה אלחנני אריה
רחבה 1347
רחוב אלחריזי
רחוב אלטמן אריה
מנהרה אליאב אריה לובה
מנהרה 1355
רחוב אליאב בנימין (לובוצקי)
רחוב אליאש מרים
רחוב אליהו מפרארה
רחוב אליוט ג'ורג'
רחוב אליעז רפאל
רחוב אליעזר בן הורקנוס
רחוב אליפלט
רחוב אליקום
רחוב אלישברג
רחוב אלישיב
רחוב אלכסנדר ינאי
רחוב אלמגור
רחוב אלמוג דוד
סמטת אלמונית
סמטת 426
רחוב אלנבי
רחוב אלעזר (רוקח)
רחוב אלעזר בן יוסי
רחוב אלעזר דוד
רחוב אלעזר החורני
רחוב אלפסי יצחק
רחוב אלפרין חיים
רחוב אלקחי מרדכי
רחוב אלקלעי
רחוב אלרואי
רחוב אלשיך
רחוב אלתרמן נתן
רחוב אמונים
רחוב אמזלג
רחוב אמירים
רחוב אמנון ותמר
רחוב אמסטרדם
רחוב אמץ
רחוב אנגל
מדרגות אנדרומדה
מדרגות 3041
רחוב אנדרוס
רחוב אנדרסן
רחוב אנוסי משהד
רחוב אנטוקולסקי
רחוב אנטיגונוס
רחוב אני מאמין
רחוב אנילביץ מרדכי
רחוב אנכי
רחוב אנסקי
רחוב אנקאווא רפאל הרב
רחוב אסא קדמוני
רחוב אסירי ציון
רחוב אסף הרופא
רחוב אסתר המלכה
"רחוב אפ""ק"
רחוב אפטר יעקב
רחוב אפלטון
רחוב אפקים
רחוב אפשטיין יעקב
רחוב אפשטיין יצחק
"רחוב אצ""ל"
גשר אצטדיון ישן
גשר 9071
רחוב אקסלרוד נתן
רחוב ארבע ארצות
רחוב ארבר מנחם
רחוב ארגוב אלכסנדר (סשא)
רחוב ארדון מרדכי
רחוב ארזי יהודה
שביל ארטר יצחק
שביל 1035
רחוב אריאל
לא עיר אריאל שרון - גבעתיים
לא עיר 6538
רחוב אריכא יוסף
רחוב אריסטו
רחוב אריסטובול
רחוב ארלוזורוב
"לא עיר ארלוזורוב - ר""ג"
לא עיר 6521
רחוב ארליך
רחוב ארלנג'ר
רחוב ארם משה
רחוב ארנון
רחוב ארניה אוסוולדו
רחוב ארסטידס דה סוזה מנדס
רחוב ארצי יצחק
רחוב אש שלום
רחוב אשדוד
רחוב אשכול לוי
רחוב אשכנזי ישראל
רחוב אשקלון
רחוב אשרמן יוסף
רחוב אשתורי הפרחי
"רחוב ב""ק ישראל"
רחוב ב'
כיכר ב' בנובמבר
כיכר 403
רחוב באכר זאב
רחוב באסולה
רחוב באר טוביה
רחוב באר יעקב
רחוב באר שבע
סמטת באר שבע
סמטת 3841
רחוב בארט אהרון
רחוב בארי
סמטת בארי
סמטת 1113
רחוב בבלי
גשר בבלי(עץ) על הירקון
גשר 9055
דרך בגין מנחם
דרך 54
רחוב בדולח
רחוב בובליק
רחוב בובר שלמה
רחוב בוגרשוב
חוף בוגרשוב
חוף 7310
רחוב בודנהיימר
רחוב בויאר אברהם
כיכר בוכמן שרה
כיכר 3972
רחוב בוני העיר
רחוב בוסל
רחוב בוסקוביץ' אלכסנדר אוריה
רחוב בוסתנאי
רחוב בועז
רחוב בוקי בן יגלי
רחוב בוקסנבאום יוסף
כיכר בוקעי יעקב סגן
כיכר 2408
רחוב בוקשפן דוד
רחוב בור נילס
רחוב בורוכוב
רחוב בורלא יהודה
רחוב בורמה
רחוב בושם
רחוב בזל
רחוב בחור אליהו
